IMO Number;Name;Total fuel consumption [m tonnes];Total CO₂ emissions [m tonnes];Fuel consumption per distance [kg / n mile];CO₂ emissions per distance [kg CO₂ / n mile];;
9414759;ST. GREGORY;2900.81;9158.51;97.36;307.37;;
9414761;ST ANDREW;2239.3;7049.09;74.08;233.21;;
9414888;AOM ELENA;1894.92;5905.31;121.76;379.46;;
9414905;COUGA;1136.11;3606.54;87.49;277.74;;
9414917;NOVA;2255.2;7071.14;88.38;277.1;;
9415040;LEMLAND;2011.59;6449.16;40.58;130.09;;
9415052;HC MELINA;1617.5;5185.7;47.14;151.12;;
9415064;HC LARA;1073.56;3441.83;48.01;153.92;;
9415143;EIDER;1039.61;3248.26;81.31;254.04;;
9415155;LUDOGORETS;2045.58;6558.13;63.14;202.42;;
9415167;OBORISHTE;2049.86;6571.85;63.78;204.49;;
9415208;TUNDRA;1299.55;4116.2;81.88;259.35;;
9415210;TORRENT;1384.36;4373.79;75.54;238.67;;
9415222;LABRADOR;820.01;2578.66;77.39;243.36;;
9415246;TRUDY;2481.93;7778.34;76.91;241.03;;
9415296;VICTOR;1693.1;5277.36;175.72;547.73;;
9415325;BREB STAR;2343.53;7430.28;47;149.02;;
9415399;BARBAROSA;1462.96;4608.85;278.06;875.98;;
9415404;AL AGAILA;1774.61;5529.24;197.63;615.77;;
9415741;GEORGINA PG;196.2;619.26;84.13;265.55;;
9415947;WANDA A;5784.31;18037.47;92.8;289.39;;
9415959;BERNARD A;303.3;953.74;81.19;255.3;;
9416032;MTM SOUTHPORT;905.44;2846.56;86.95;273.35;;
9416044;CHEM POLARIS;2970.02;9423.84;70.43;223.47;;
9416056;TRF MIAMI;2309.2;7325.03;88.89;281.97;;
9416070;DREGGEN;124.84;394.2;60.78;191.92;;
9416082;SHAMROCK JUPITER;484.02;1509.97;70.03;218.46;;
9416109;SONGA WINDS;1465.49;4588.9;75.98;237.92;;
9416393;HONESTY;773.66;2420.54;111.49;348.83;;
9416422;RIDGEBURY JOHN ZIPSER;3994.6;12519.83;161.52;506.23;;
9416434;PS VALLETTA;275.24;859.79;83.42;260.58;;
9416537;SHENG XING HAI;0;0;Division by zero!;Division by zero!;;
9416549;SHENG WANG HAI;0;0;Division by zero!;Division by zero!;;
9416551;ALATAU;3823.3;11960.72;179.77;562.4;;
9416707;UBC TAMPA;2240.32;7002.26;76.52;239.16;;
9416721;UBC TILBURY;479.21;1499.08;92.14;288.23;;
9416733;FRATERNITY;1382;4347.37;163.34;513.82;;
9416757;FENG HUANG SONG;610.5;1906.93;94.23;294.32;;
9416769;KONG QUE SONG;0;0;Division by zero!;Division by zero!;;
9416771;QI LIN SONG;0;0;Division by zero!;Division by zero!;;
9416795;AUTUMN;2802.61;8890.11;72.34;229.48;;
9416800;WINTER;1101.37;3460.65;80.98;254.46;;
9416812;SPRING;2488.6;7926.22;76.08;242.32;;
9416965;NYK REMUS;2960.8;9414.97;224.95;715.31;;
9416977;NYK RIGEL;1573.9;5010.95;202.07;643.34;;
9416989;NYK ROMULUS;3625.2;11524.26;204.14;648.96;;
9416991;NYK RUMINA;2254.16;7116.64;188.59;595.39;;
9417000;EAGLE KUCHING;2584.8;8236.1;167.25;532.91;;
9417024;EAGLE KANGAR;3282.39;10385.25;133.45;422.23;;
9417141;E-SHIP 1;2116.2;6784.54;62.54;200.51;;
9417220;KRITI CORAL;3467.5;10908.89;114.64;360.65;;
9417244;OOCL SEOUL;9179.5;28971.15;241.4;761.87;;
9417309;VALFOGLIA;7678.1;24254.48;151.71;479.25;;
9417311;VALLESINA;6992.77;22088.28;152.76;482.52;;
9417323;WHISTLER SPIRIT;723.86;2267.04;147.91;463.23;;
9417440;OHIO;6707.35;21229.55;168.66;533.83;;
9417452;CHRYSANTHEMUM;1333.98;4232.61;194.86;618.26;;
9417464;ARGO;4168.7;13127.35;185.3;583.52;;
9417763;SPRUCE 2;1202.6;3806.82;109.69;347.21;;
9417799;GHIBLI;3204.07;10165.26;200.42;635.86;;
9417919;STENA FLAVIA;11365.06;35869.01;127.46;402.28;;
9418119;HORIZON ELECTRA;791.01;2482.86;97.95;307.44;;
9418121;MARIOS G;1125.65;3528.37;143.34;449.3;;
9418133;NAVIG8 SUCCESS;2638.73;8353.66;99.27;314.27;;
9418157;DELTA COMMANDER;684.5;2140.13;152.52;476.86;;
9418286;SELAM;1104.4;3497.27;31.04;98.29;;
9418327;COSCO TAIHANGSHAN;1091.77;3441.27;108.71;342.65;;
9418482;STRIDE;2822.52;8844.11;162.94;510.57;;
9418573;KRITI BAY;800.26;2516.53;124.92;392.84;;
9418597;BEIJING SPIRIT;2461.4;7699.92;159.5;498.96;;
9418602;MOSCOW SPIRIT;906.96;2855.71;147.57;464.65;;
9418729;CROWNED EAGLE;1618.36;5052.57;98.06;306.15;;
9418822;MEHMET A;2171.31;6808.89;79.35;248.81;;
9418987;OCEAN GLADIATOR;1143.84;3601.36;117.77;370.79;;
9418999;UHL PARTNER;996.6;3133.7;102.34;321.8;;
9419008;OCEAN GLOBE;1637.77;5135.75;91.78;287.8;;
9419084;SALVINIA;728;2310.55;34.19;108.52;;
9419096;DELTA SPIRIT;1493.28;4691.5;146.04;458.83;;
9419101;DELTA ATLANTICA;1366.7;4295.65;155.66;489.25;;
9419137;GSTAAD GRACE;7154.71;22804.67;191.65;610.87;;
9419163;STENA HOLLANDICA;21510.18;67203.85;265.73;830.21;;
9419175;STENA BRITANNICA;20042.27;62634.09;243.65;761.44;;
9419199;DESNA STAR;243;767.01;66;208.31;;
9419230;GREAT WOODS;2393.89;7466.87;110.31;344.07;;
9419242;GREAT CRYSTAL;1493.53;4677.04;117.49;367.94;;
9419280;BEATRIX;1544.79;4925.6;50.47;160.94;;
9419292;FLEVOBORG;2073.36;6610.09;48.41;154.33;;
9419307;FIVELBORG;1740.65;5540.88;46.09;146.72;;
9419319;FRASERBORG;1727.69;5505.15;46.39;147.83;;
9419321;FINNBORG;1734.29;5523.68;49.28;156.97;;
9419357;IASONAS;1650.1;5215.6;125.29;396.02;;
9419448;ADVANTAGE ARROW;2262.79;7092.93;208.24;652.76;;
9419450;ADVANTAGE AVENUE;2549.34;8173.18;162.09;519.66;;
9419541;NCC DANAH;1557.38;4882.21;111.3;348.9;;
9419759;GLOVIS CARDINAL;1308.6;4124.23;135.44;426.85;;
9419888;ADVANTAGE SPICE;3582.67;11486.04;235.72;755.71;;
9419890;ADVANTAGE SUMMER;302.48;948.59;556.03;1743.73;;
9420045;HOEGH ST. PETERSBURG;3249.04;10171.04;108.92;340.96;;
9420057;HOEGH COPENHAGEN;3560.5;11164.04;112.71;353.39;;
9420253;MAGIC STAR;719;2240.71;102.36;319.01;;
9420265;AROSA;1925.38;6029.57;95.48;299;;
9420423;STENA LIVIA;13678.14;43295.13;148.32;469.47;;
9420617;SILVER;6542.04;20660.01;130.29;411.45;;
9420629;GOLD (EX HEYDAR ALIYEV);4703.3;14732.08;147.22;461.13;;
9420631;KARAVAS;2691.72;8477.45;126.9;399.65;;
9420643;DREPANOS;4530.85;14284.19;138.73;437.37;;
9420710;BOCHEM OSLO;2195.1;6869.73;84.98;265.94;;
9420772;DIJKSGRACHT;2427.1;7583.27;87;271.83;;
9420784;DAMGRACHT;3017.31;9402.29;89.46;278.76;;
9420796;DANZIGERGRACHT;2555.3;7973.64;82.54;257.57;;
9420801;DELTAGRACHT;2491;7772.59;84.71;264.32;;
9420813;DIAMANTGRACHT;368.8;1148.59;83.48;259.98;;
9420825;DOLFIJNGRACHT;3515.3;10965.29;93.36;291.21;;
9420837;DONAUGRACHT;2173.4;6777.37;83.88;261.55;;
9420849;DYNAMOGRACHT;2025;6322.77;96.12;300.11;;
9420851;VOGE DIGNITY;2246.01;7084.73;88.96;280.61;;
9420863;VOGE TRUST;4240.38;13337.66;126.58;398.14;;
9421063;MANISA EMY / LEUVEBORG;2085.3;6598.34;50.01;158.24;;
9421075;MANISA BELLA / LENNEBORG;1466.15;4653.02;47.21;149.82;;
9421099;MANISA KATE / LOENERBORG;2101.07;6643.64;48.59;153.63;;
9421116;BBC JADE;1421.51;4483.99;68.23;215.23;;
9421128;ARGO;1234.43;3862.76;38.71;121.13;;
9421130;BREB COURTESY;1094.85;3467.67;40.86;129.42;;
9421142;BREB CUXHAVEN;1080.9;3424.08;42.95;136.07;;
9421154;JUNO;1600.08;4999.1;42;131.21;;
9421166;BREB COUNTESS;1376.2;4344.97;47.16;148.89;;
9421178;BREB COURAGEOUS;1982.98;6227.39;47.69;149.77;;
9421219;KITIKMEOT W.;1658.69;5265.3;80.31;254.93;;
9421221;QIKIQTAALUK W.;1585.05;5054.91;76.5;243.96;;
9421257;WOOYANG HERMES;172.7;545.59;119.59;377.81;;
9421295;VESTHOLMEN;1691.1;5362.98;81.46;258.34;;
9421324;MR EUPHRATES;1751.92;5542.42;119.67;378.58;;
9421439;ALBATROSS ISLAND;981.2;3062.21;88.94;277.57;;
9421960;SCF PRIMORYE;2767.8;8728.69;165.9;523.2;;
9421972;SCF SAMOTLOR;4419.07;13958.33;161.35;509.65;;
9422079;GENCO COMMODUS;1260.5;3936.38;192.99;602.69;;
9422081;GENCO MAXIMUS;2605.1;8124.76;161.9;504.93;;
9422122;MYRA SEAWAYS;13284.2;41384.45;125.89;392.19;;
9422134;GALATA SEAWAYS;13146.7;40956.37;117.04;364.62;;
9422196;EAGLE KINABALU;689.82;2169.92;129.13;406.2;;
9422225;WORLD NAVIGATOR;711.6;2248.14;89.31;282.15;;
9422378;JUNO;1108.66;3495.63;76.24;240.4;;
9422445;SCF SURGUT;2287;7216.79;166.15;524.29;;
9422457;SCF BAIKAL;2341.6;7426.03;179.49;569.21;;
9422495;VANTAGE REEF;158.42;500.35;124.84;394.29;;
9422512;UACC RAS LAFFAN;430.35;1361.68;155.95;493.43;;
9422524;DUBAI ANGEL;3887.9;12285.28;133.83;422.87;;
9422536;DUBAI ATTRACTION;2887.8;9130.22;151.01;477.45;;
9422639;NORDIC AGNETHA;3302.35;10426.46;97.94;309.23;;
9422641;NORDIC AMY;2632.02;8310.01;95.33;300.97;;
9422677;NORDIC MARI;246.7;777;51.21;161.3;;
9422809;MARATHA PROMISE;730.3;2305.15;89.82;283.5;;
9422835;GARIBALDI SPIRIT;1496.41;4676.2;153.18;478.68;;
9422938;MAIA;1684;5296.83;111.49;350.67;;
9423255;EVER ALLIANCE;542.17;1711.8;99.03;312.67;;
9423293;YANNIS GORGIAS;3567.64;11265.48;117.18;370.02;;
9423360;ATTALIA;783.47;2470.66;101.78;320.97;;
9423449;SEAPIKE;4639.3;14750.52;108.61;345.33;;
9423504;CAPTAIN ANDREADIS;1304.24;4121.94;114.73;362.59;;
9423516;BBC RAINBOW;1212.18;3806.56;81.83;256.96;;
9423530;COLUMBIA;1593.65;5038.18;103.98;328.71;;
9423542;LIBERTY;1793.96;5665.11;102.34;323.19;;
9423554;REGO;703.29;2221.9;109.55;346.09;;
9423566;GREAT  SEA;2786.29;8723.81;97.68;305.84;;
9423592;ENGIADINA;702.09;2188.61;88.79;276.79;;
9423621;CELSIUS MONTREAL;2158.81;6836.79;67.07;212.42;;
9423633;AFRICAN WIND;3256;10231.76;80.16;251.88;;
9423645;SONGA BREEZE;2018.6;6335.35;84.14;264.08;;
9423683;PVT AZURA;573.89;1790.15;86.34;269.32;;
9423736;SUNNY HILL;1104.86;3495.04;104.21;329.66;;
9423748;EEMSBORG;1970.75;6282.54;42.88;136.69;;
9423750;CELSIUS EAGLE;2486.19;7873.06;73.57;232.98;;
9423786;KURPIE;2016.09;6408.45;84.63;269.02;;
9423798;KOCIEWIE;2149.5;6787.44;81.79;258.28;;
9423853;MORAIME;1975.39;6333.1;44.86;143.82;;
9423920;SKYTHIA;1425.62;4494.43;147.46;464.9;;
9423932;OCEAN FREEDOM;630.82;1990.43;87.06;274.69;;
9424053;BDP SPIRIT;2355.1;7360.91;106.66;333.36;;
9424089;FLYING DUCHESS;318.4;994.47;80.12;250.23;;
9424120;NOVI;1675;5318.22;66.02;209.6;;
9424132;TEAM FOCUS;847;2665.14;74.47;234.34;;
9424209;COSMO ACE;5655.59;17645.25;293.95;917.11;;
9424546;PARKGRACHT;3380.54;10581.54;111.32;348.46;;
9424558;PALMGRACHT;4247.82;13253.01;99.05;309.04;;
9424560;POTTERSGRACHT;1540.26;4842.84;108.36;340.71;;
9424572;PLANTIJNGRACHT;2482.44;7754.74;104.67;326.97;;
9424596;ARGENT GERBERA;783.7;2440.92;118.53;369.17;;
9424651;DI MATTEO;2171.92;6855.82;95.12;300.25;;
9424807;SELECTA;1689;5349.05;38.66;122.44;;
9424857;THOR ACHIEVER;3411.62;10650.94;118.44;369.76;;
9424869;OPALINE;8342.82;26235.77;101;317.6;;
9424871;AMANDINE;8331.75;26177.46;106.52;334.68;;
9425124;IOLCOS PRIDE;2815.03;8889.75;112.99;356.8;;
9425136;IOLCOS LEGACY;1557.74;4921.5;106.19;335.48;;
9425148;IOLCOS VISION;1654.29;5220.95;103.61;326.99;;
9425162;AFRICAN FOREST;2628.26;8203.55;74.67;233.08;;
9425174;AFRICAN RIVER;2968.85;9315.06;85.22;267.4;;
9425241;CORAL PATULA;3798.76;12178.83;82.41;264.21;;
9425253;CORAL PEARL;4268.67;13685.36;75.09;240.74;;
9425356;TERNVIND;2981.58;9501.38;56.91;181.36;;
9425382;SANTA RITA;8086.27;25282.3;222.86;696.78;;
9425461;NEA IONIA;0;0;Division by zero!;Division by zero!;;
9425497;PERSEUS N;5907.4;18576.74;168.68;530.45;;
9425502;TORM GYDA;3530.84;11241.59;76.42;243.3;;
9425514;ARDMORE SEAFARER;784.38;2482.22;76.15;240.97;;
9425540;ENDLESS SUMMER;990.98;3105.69;94.76;296.98;;
9425667;ATLANTIC LEGEND;2893.02;9065.09;112.44;352.34;;
9425813;AETOLIA;1118.67;3534.97;99.29;313.75;;
9425825;PILION;575.1;1792.09;90.84;283.07;;
9425863;ST PAUL;992.68;3117.96;95.86;301.08;;
9425875;STAVROS;724.67;2299.84;105.54;334.96;;
9425916;C LION;1122.07;3505.59;101.17;316.08;;
9425928;QUEEN;820.7;2583.86;98.74;310.87;;
9425930;DIONI;644.91;2034.59;91.44;288.47;;
9425942;TRADE;1976.44;6271.52;100.93;320.25;;
9425992;GINGA LEOPARD;578;1827.6;107.21;339;;
9426049;ZEUS;5843.3;18233.71;151.57;472.96;;
9426130;EVER SUCCESS;2516.33;7854.31;107.26;334.79;;
9426207;EAGLE HAMILTON;1351.95;4334.36;192.34;616.63;;
9426245;BULK COLOMBIA;688.97;2171.52;94.13;296.7;;
9426300;GINGA CARACAL;1604.2;4999.32;85.52;266.5;;
9426350;DIONYSOS LEADER;2111.1;6672.26;99.2;313.54;;
9426374;PLEIADES LEADER;1443.4;4529.47;118.61;372.21;;
9426386;MARGUERITE ACE;939.58;2971.93;83.31;263.52;;
9426415;CAPTAIN PETROS H.;0;0;Division by zero!;Division by zero!;;
9426441;IONIC ARTEMIS;3230.68;10163.4;151.58;476.84;;
9426702;LUNA ROSSA;613.05;1912.22;106.55;332.35;;
9426776;AMIS WISDOM II;1022.51;3230.79;94.88;299.8;;
9426805;SOFIA I;0;0;Division by zero!;Division by zero!;;
9426855;BC VANESSA;1796.39;5666.62;78.07;246.28;;
9426879;UBC STOCKHOLM;133.83;419.58;64.87;203.38;;
9426881;UBC SALAVERRY;801.12;2499.28;77.82;242.78;;
9427031;RISING LION;1489.25;4701.33;96.22;303.76;;
9427079;BBC GREENLAND;2568.09;8116.95;62.37;197.13;;
9427081;BBC PACIFIC;1204.1;3762.16;50.57;158.01;;
9427134;DAIWAN WISDOM;1714.07;5416.54;79.22;250.35;;
9427304;KATE;3466.18;10895.36;166.31;522.76;;
9427330;UM ELHANAYA;1407.09;4407.55;124.26;389.22;;
9427342;ORIENT RISE;2096.78;6535.83;107.31;334.5;;
9427380;SYMI;1074.67;3379.76;61.74;194.18;;
9427392;MALLARD S;1067.6;3351.74;51.86;162.83;;
9427445;DACIL;1472.31;4660.66;65.6;207.65;;
9427469;GLOBAL LAKE;1431.29;4588.72;55.63;178.34;;
9427574;LUCKY TRADER;920.06;2911.61;66.21;209.53;;
9427586;SIDER JOY;2771.1;8768.81;68.39;216.42;;
9427627;ASPEN SPIRIT;3152.71;9867.8;162.25;507.84;;
9427639;COPPER SPIRIT;2654.2;8410.26;182.82;579.3;;
9427641;TAHOE SPIRIT;5099.4;16162.57;170.83;541.46;;
9427902;MANDARIN SKY;0;0;Division by zero!;Division by zero!;;
9427926;PAGANELLA;2631.82;8216.65;125.68;392.37;;
9427940;PAGLIA;1291.3;4037.6;90.41;282.71;;
9427964;PARANA;7426.28;7010.23;107.68;101.65;;
9427988;FMT BERGAMA;3626.4;11360.72;85.48;267.78;;
9428073;SOLANDO;2591.01;8275.43;87.37;279.06;;
9428085;SOLERO;3177.86;10138.88;73.04;233.03;;
9428205;REBECCA S;4076.2;12735.06;73.23;228.8;;
9428217;ORION;3280.7;10514.04;69.74;223.52;;
9428334;GH PARKS;2966.12;9362.9;165.88;523.63;;
9428384;GUNMETAL JACK;2123.3;6726.11;127.6;404.21;;
9428413;FLORIJNGRACHT;3175.37;9911.98;64.78;202.22;;
9428425;FAGELGRACHT;2055.22;6419.71;61.6;192.41;;
9428437;AC-D;2206.76;7074.87;46.3;148.45;;
9428449;CAROLINE THERESA;1997.18;6345.21;54.23;172.3;;
9428451;KARINA THERESA;1522.83;4850.5;54.86;174.75;;
9428499;KOHL I;2617.77;8323.55;76.53;243.35;;
9428657;BEAUTRADER;1637.44;5249.63;36.51;117.04;;
9428669;BEAUTRITON;1359.68;4359.13;36.27;116.27;;
9428774;JOY X;803.4;2541.18;48.84;154.5;;
9428786;TEMA;1493.35;4674.21;37.61;117.73;;
9428970;SKS DRIVA;2653.81;8324.79;114.43;358.97;;
9428982;SKS DOURO;1869.3;5848.23;114.3;357.6;;
9428994;SKS DEE;4331.29;13560.61;144.58;452.67;;
9429003;SKS DOYLES;838.38;2651.95;120.98;382.68;;
9429015;DELTA KANARIS;1021.84;3192.99;397.76;1242.89;;
9429027;DELTA TOLMI;4347.05;13569.69;189.55;591.71;;
9429182;BLUE PRINCE;8672.36;27133.01;161.47;505.18;;
9429194;ELBSUMMER;4079.16;12316.31;86.6;261.46;;
9429209;CHARLOTTA;4009.1;12497.53;82.74;257.92;;
9429211;CHRISTINA;6268.2;19700.72;87.45;274.87;;
9429223;MUNKSUND;5552.29;17301.67;94.77;295.33;;
9429235;TUNADAL;5515.2;17193.09;94.05;293.19;;
9429261;ELBSUN;3390.29;10703.73;76.2;240.57;;
9429273;ELBSEA;5810.93;18359.58;84.7;267.6;;
9429431;IOLCOS HARMONY;1662.02;5256.45;131.87;417.08;;
9429754;JACQUELINE C;299.4;944.6;63.46;200.21;;
9430129;JANET C;359.7;1135.11;62.33;196.71;;
9430131;JOHANNA C;387;1221.19;87.65;276.57;;
9430143;JULIE C;738.02;2327.61;65.45;206.43;;
9430155;VICTORIA L;2159.61;6820.91;86.51;273.24;;
9430193;HERCULES J;3547.6;11204.99;77.44;244.59;;
9430222;BBC RIO;1438.07;4515.48;85.14;267.33;;
9430260;FALCON MARYAM;1679.87;5268.17;113.43;355.71;;
9430272;CELSIUS ROSKILDE;2173.89;6878.63;79.74;252.32;;
9430296;CELSIUS RANDERS;1051.32;3328.64;87.88;278.24;;
9430363;SANTA ROSA;16207.95;50496.34;253.43;789.57;;
9430387;SANTA URSULA;22240.45;60878.49;281.82;771.43;;
9430399;SANTA BARBARA;18063.33;56250.51;280.55;873.65;;
9430519;NOCC ATLANTIC;228;730.97;147;471.29;;
9430624;ORUBA;812.95;2575.17;38.96;123.41;;
9430791;CELIK 1;839.98;2659.46;33.04;104.61;;
9430868;PERITO MORENO;0;0;Division by zero!;Division by zero!;;
9430870;NEUBURG;104.8;328.22;118.86;372.26;;
9430947;WILSON NORTH;2167.92;6950.35;42.14;135.09;;
9430959;WILSON NICE;1946.76;6241.31;41.95;134.5;;
9430961;WILSON NARVIK;2441.6;7827.77;40.47;129.74;;
9430973;WILSON NANTES;2018.86;6472.46;39.99;128.22;;
9430985;WILSON NEWPORT;2054.91;6588.04;41.35;132.56;;
9430997;WILSON NORFOLK;2270.18;7278.19;45.35;145.4;;
9431006;WILSON NEWCASTLE;2195.87;7039.96;42.51;136.29;;
9431018;WILSON NANJING;1890.32;6060.37;42.85;137.38;;
9431032;NIKE;2536.09;8006.92;48.14;152;;
9431056;MAINLAND;2219.79;7097.04;56.47;180.54;;
9431111;AL KHATTIYA;12672.9;39443.35;330.76;1029.45;;
9431123;AL KARAANA;12724.1;39530.91;353.69;1098.83;;
9431135;AL NUAMAN;18506.1;57373.69;354.24;1098.25;;
9431147;AL BAHIYA;2943.8;9115.19;312.37;967.23;;
9431173;BASTIONS;2142.37;6684.7;141.69;442.11;;
9431264;KIRSTEN MAERSK;3404.87;10680.41;77.09;241.83;;
9431276;MAERSK KATE;2505.23;7882.25;86.68;272.73;;
9431288;MAERSK KAYA;2658.45;8353.34;86.67;272.32;;
9431290;MAERSK KATARINA;446.15;1389.87;126.64;394.51;;
9431317;MAERSK KATALIN;2358;7389.55;92.67;290.4;;
9431331;JULIUS;6987.3;22023.69;80.97;255.22;;
9431460;PACIFICA;1016.32;3216.85;58.26;184.39;;
9431472;POTENTIA;2149.78;6757.13;87.88;276.23;;
9431513;MOUTON;408.7;1293.91;152.13;481.62;;
9431692;TANJA;13222.95;41458.57;198.39;622.02;;
9431707;NAVIOS DORADO;4717.1;14699.02;209.01;651.29;;
9431836;HOEGH BEIJING;590.1;1851.47;85.44;268.06;;
9431850;HOEGH MAPUTO;3808.71;11928.23;80.42;251.87;;
9431862;HOEGH SINGAPORE;3970.7;12444.51;83.23;260.84;;
9431886;ASKARA;1460.4;4666.54;69.23;221.21;;
9431977;FЕDOR;1190.68;3817.32;45.71;146.54;;
9432036;TONY;1421.31;4445.49;231.86;725.21;;
9432048;DEMETRIOS;1015.26;3177.5;182.12;569.99;;
9432115;ADAM ASNYK;1454.6;4540.37;109.29;341.15;;
9432127;CHIPOLBROK STAR;0;0;Division by zero!;Division by zero!;;
9432139;PARANDOWSKI;1967.8;6224.77;98.41;311.3;;
9432141;CHIPOLBROK GALAXY;228.5;713.48;113.17;353.38;;
9432153;KRASZEWSKI;1180.64;3695.39;101.5;317.69;;
9432165;QIAN KUN;2140.99;6747.5;92.74;292.28;;
9432206;BELTNES;6026.37;18808.56;94.63;295.34;;
9432220;VERA RAMBOW;4874.48;15417.74;96.58;305.48;;
9432232;GERDA;5278.77;16666.22;95.06;300.12;;
9432464;DENSA LION;1040.57;3293.27;105.99;335.43;;
9432476;DENSA TIGER;1409.29;4467.55;103.18;327.09;;
9432488;DENSA EAGLE;751.31;2374.09;92.31;291.69;;
9432490;SIDER BERGEN;1823.13;5765.93;47.16;149.14;;
9432505;SIDER SONJA;1454.4;4605.03;51.71;163.72;;
9432517;SIDER MONICA;1226.11;3930.91;49.29;158.02;;
9432529;OLYMPIA LOGGER;464.71;1471.67;81.88;259.3;;
9432531;PLUTO;1593.61;4993.25;86.06;269.66;;
9432866;KATTEGAT;2607.32;8348.15;60.86;194.85;;
9432892;LAKE WANAKA;5547.72;17326.35;109.87;343.13;;
9433016;TECTUS;3433.4;10778.17;131.78;413.69;;
9433262;HUDSONGRACHT;434.15;1354.26;60.79;189.62;;
9433274;HUMBERGRACHT;1318.5;4121.74;58.08;181.55;;
9433286;MYS FLORA;360.1;1131.48;58.46;183.7;;
9433298;BBC MARYLAND;1564.13;4900.27;56.48;176.96;;
9433303;LOKHOLMEN;2627.7;8376.84;64.04;204.15;;
9433315;BBC SWITZERLAND;687.96;2176.92;53.19;168.3;;
9433327;BBC AUSTRIA;500.07;1577.21;59.18;186.65;;
9433456;SELFOSS;5148.23;16505.24;71.89;230.48;;
9433509;TORM ATLANTIC;1503.2;4690.13;91.5;285.5;;
9433585;PINK STARS;1826.08;5717.4;130.18;407.6;;
9433602;AEOLIAN VICTORY;845.98;2640.28;85.78;267.72;;
9433626;ETERNAL BLISS;2732.5;8629.47;94.07;297.07;;
9433664;KEY GUARDIAN;1544.05;4840.86;112.23;351.86;;
9433690;KARELIS-72;448.7;1419.36;33.6;106.28;;
9433810;DEE4 FIG;728.48;2317.33;87.1;277.06;;
9433896;HOANYA WISDOM;1182.4;3733.4;57.55;181.72;;
9433901;BSL ELSA;397.3;1244.6;119.2;373.42;;
9434175;AMBRA;2500.7;7847.85;76.74;240.84;;
9434204;OLAF;911.48;2842.17;84.04;262.06;;
9434228;SVEN;1732.33;5430.83;96.23;301.68;;
9434230;TORM SINGAPORE;1335.1;4173.86;85.14;266.17;;
9434266;VALENCIA KNUTSEN;2453;6831.62;309.92;863.12;;
9434369;MARAN GUARDIAN;1195.86;3738.19;134.25;419.67;;
9434395;MARAN VIGOUR;3531.15;11006.23;178.58;556.61;;
9434412;MARAN HARMONY;2513.78;7887.57;232.54;729.65;;
9434424;SAMJOHN SOLIDARITY;4263.45;13292.03;198.55;619.01;;
9434436;SAMJOHN LEGACY;2415.36;7562.59;225.12;704.87;;
9434498;AMSTEL LION;494.4;1560.25;90.09;284.3;;
9434668;RF ALICE;1190.03;3771.63;65.2;206.63;;
9434723;KIRANA NAREE;1063.48;3357.93;106.1;335.02;;
9434735;KANCHANA NAREE;788.93;2496.34;117.44;371.62;;
9434747;SSI INVINCIBLE II;369.87;1153.79;91.53;285.53;;
9434759;OSTERMARSCH;2229.1;7111.66;42.42;135.33;;
9434761;AMELAND;2202.05;6970.12;44.72;141.57;;
9434802;CONTSHIP VIE;2215.77;6985.61;101.88;321.2;;
9434917;MAERSK NIAMEY;4054.9;12663.95;146.3;456.9;;
9434929;MAERSK NIJMEGEN;9202.5;28726.89;132.77;414.48;;
9434931;CAUCEDO EXPRESS;8547.8;26755.78;123.17;385.54;;
9434943;PUERTO LIMON EXPRESS;6668;20855.02;127.75;399.54;;
9435026;MV BBC TENNESSEE;923.1;2885.29;52.35;163.63;;
9435105;ERIK;2434.67;7628.74;56.08;175.71;;
9435129;JANNES;641.83;2002.39;63.93;199.46;;
9435313;ARROW STAR 1;1618.45;5120.19;62.47;197.64;;
9435325;AGVANIS;388.12;1226.53;54.68;172.81;;
9435454;GNV SEALAND;13149;41518.19;158.51;500.5;;
9435557;OWL 4;555.28;1734.64;53.51;167.15;;
9435753;HEERENGRACHT;2502.32;7841.26;56.42;176.78;;
9435856;KURT PAUL;1071.5;3383.04;65.98;208.32;;
9435894;OVERSEAS MYKONOS;4299.03;13476.32;99.43;311.69;;
9435909;OVERSEAS SANTORINI;3371.88;10559.42;99.23;310.74;;
9436018;IRIDESCENT;1865.38;5882.81;163.4;515.31;;
9436020;CRUDE CENTURION;2583.59;8171.21;187.58;593.28;;
9436197;BG ONYX;3977;12681.82;75.98;242.27;;
9436202;BG RUBY;3675.3;11712.62;77.01;245.4;;
9436214;SAMSKIP INNOVATOR;4165.92;13125.83;73.12;230.4;;
9436226;VASTERBOTTEN;1625.23;5210.49;38.17;122.36;;
9436238;HALLAND;1721.24;5518.29;38.52;123.48;;
9436240;NYLAND;1831.52;5871.85;38.73;124.16;;
9436252;URA;1361.13;4363.78;48;153.88;;
9436264;NORJARL;1760.75;5644.96;36.99;118.59;;
9436276;SUA;1918.43;6150.49;44.71;143.33;;
9436290;SAMSKIP ENDEAVOUR;5350.39;16883.45;81.13;256.03;;
9436305;VERONICA B;3253.31;10232.63;66.23;208.3;;
9436329;BBC VOLGA;638.39;2023.5;62.59;198.38;;
9436331;YAMAL ORLAN;1974.12;6171.04;73.52;229.82;;
9436343;GRAZIA;2218.3;6978.01;103.36;325.14;;
9436381;ASKHOLMEN;2903.29;9217.08;106.33;337.56;;
