Name,Country Name,Latitude,Longitude,Layer,Harbor Type
LITTLE CURRENT - Canada,Canada,45.9833333333333,-81.9333333333333,PORT - Small,Coastal Natural
HONORA - Canada,Canada,45.8666666666667,-82.1666666666667,PORT - Very Small,Coastal Natural
KAGAWONG - Canada,Canada,45.9166666666667,-82.25,PORT - Very Small,Coastal Natural
GORE BAY - Canada,Canada,45.9166666666667,-82.4666666666667,PORT - Very Small,Coastal Natural
MELDRUM BAY - Canada,Canada,45.9333333333333,-83.1166666666667,PORT - Very Small,Coastal Natural
BLIND RIVER - Canada,Canada,46.1833333333333,-82.95,PORT - Very Small,Coastal Natural
COCKBURN - Canada,Canada,45.95,-83.3166666666667,PORT - Very Small,Coastal Natural
THESSALON - Canada,Canada,46.25,-83.5666666666667,PORT - Very Small,Coastal Breakwater
BRUCE MINES - Canada,Canada,46.2833333333333,-83.7833333333333,PORT - Very Small,Coastal Natural
HILTON - Canada,Canada,46.25,-83.8833333333333,PORT - Very Small,Coastal Natural
DESBARATS - Canada,Canada,46.3333333333333,-83.9166666666667,PORT - Very Small,River Natural
RICHARDS LANDING - Canada,Canada,46.3,-84.0333333333333,PORT - Very Small,Coastal Natural
SAULT STE MARIE - Canada,Canada,46.5166666666667,-84.35,PORT - Small,River Natural
ALGONAC - United States,United States,42.6166666666667,-82.5166666666667,PORT - Very Small,River Natural
MARINE CITY - United States,United States,42.7166666666667,-82.5,PORT - Very Small,River Natural
ST CLAIR - United States,United States,42.8166666666667,-82.4833333333333,PORT - Very Small,River Natural
PORT HURON - United States,United States,43,-82.4333333333333,PORT - Very Small,River Natural
HARBOR BEACH - United States,United States,43.85,-82.65,PORT - Very Small,Coastal Breakwater
PORT HOPE - United States,United States,43.95,-82.7,PORT - Very Small,Open Roadstead
BAY CITY - United States,United States,43.6,-83.8666666666667,PORT - Small,River Natural
SAGINAW - United States,United States,43.4333333333333,-83.9333333333333,PORT - Small,River Natural
ALABASTER - United States,United States,44.1833333333333,-83.55,PORT - Very Small,Open Roadstead
TAWAS CITY - United States,United States,44.2666666666667,-83.5,PORT - Very Small,Coastal Natural
AU SABLE - United States,United States,44.4,-83.3166666666667,PORT - Very Small,River Natural
OSCODA - United States,United States,44.4166666666667,-83.3166666666667,PORT - Very Small,River Natural
ALPENA - United States,United States,45.0666666666667,-83.4166666666667,PORT - Small,Coastal Natural
ROCKPORT - United States,United States,45.2,-83.3833333333333,PORT - Very Small,Open Roadstead
CALCITE - United States,United States,45.4166666666667,-83.7833333333333,PORT - Very Small,Coastal Breakwater
ROGERS CITY - United States,United States,45.45,-83.8166666666667,PORT - Very Small,Open Roadstead
CHEBOYGAN - United States,United States,45.65,-84.4666666666667,PORT - Small,River Natural
MACKINAW CITY - United States,United States,45.7833333333333,-84.7166666666667,PORT - Very Small,Lake or Canal
MACKINAC ISLAND - United States,United States,45.85,-84.6166666666667,PORT - Very Small,Coastal Breakwater
ST IGNACE - United States,United States,45.85,-84.7166666666667,PORT - Very Small,Coastal Natural
SAULT STE MARIE - United States,United States,46.5,-84.35,PORT - Small,River Natural
ST. JAMES HARBOR - United States,United States,45.7333333333333,-85.5166666666667,PORT - Very Small,Coastal Natural
HARBOR SPRINGS - United States,United States,45.4333333333333,-84.9833333333333,PORT - Very Small,Coastal Natural
PETOSKEY - United States,United States,45.3666666666667,-84.9666666666667,PORT - Very Small,Coastal Breakwater
CHARLEVOIX - United States,United States,45.3166666666667,-85.2666666666667,PORT - Very Small,Lake or Canal
TRAVERSE CITY - United States,United States,44.7666666666667,-85.6166666666667,PORT - Very Small,Coastal Natural
LELAND - United States,United States,45.0166666666667,-85.7666666666667,PORT - Very Small,Coastal Breakwater
FRANKFORT - United States,United States,44.6333333333333,-86.25,PORT - Small,Coastal Natural
MANISTEE - United States,United States,44.25,-86.3166666666667,PORT - Small,River Natural
LUDINGTON - United States,United States,43.95,-86.45,PORT - Small,River Natural
WHITE LAKE - United States,United States,43.3833333333333,-86.35,PORT - Small,River Natural
