MMSI,Temps de reception,Sog,Cog,Longitude,Latitude,NavigationalStatus
238118840,2023-03-24 08:12:28.270605+00:00,0,81.2,14.890775,44.719743333333334,0
376639000,2023-03-24 08:12:28.271885+00:00,0,56.2,18.438728333333334,-33.91645333333334,5
269057489,2023-03-24 08:12:28.276163+00:00,0,180.5,7.588273333333333,47.586486666666666,5
205539990,2023-03-24 08:12:28.278309+00:00,8.7,270.9,5.687678333333333,51.89615333333334,0
304010285,2023-03-24 08:12:28.281167+00:00,6.5,211.1,27.84085333333333,60.24771666666666,0
244000265,2023-03-24 08:12:28.283126+00:00,0,360,5.111126666666666,52.772706666666664,0
636017607,2023-03-24 08:12:28.283596+00:00,10.9,286.8,-4.840281666666667,35.93554833333334,0
244630037,2023-03-24 08:12:28.313549+00:00,0,360,4.455816666666666,51.890035,15
229627000,2023-03-24 08:12:28.320468+00:00,0,221.5,7.129335,43.58479166666667,0
244733590,2023-03-24 08:12:28.322291+00:00,0,360,4.646875,51.79504,5
244740080,2023-03-24 08:12:28.322680+00:00,5.9,12.8,4.624703333333333,51.720571666666665,5
244670164,2023-03-24 08:12:28.323328+00:00,5.1,175.1,4.611125,51.70815,0
319017500,2023-03-24 08:12:28.324961+00:00,0,106.9,4.312421666666666,51.87421666666667,5
211755810,2023-03-24 08:12:28.364937+00:00,0,360,9.966548333333332,53.53162,0
232020313,2023-03-24 08:12:28.367441+00:00,7.4,203.8,0.081465,51.505536666666664,0
227006650,2023-03-24 08:12:28.371153+00:00,0,51.2,-4.484455,48.38117833333333,0
227099110,2023-03-24 08:12:28.373010+00:00,8.8,321.5,6.035565,52.63196833333333,5
636019152,2023-03-24 08:12:28.374911+00:00,11.1,285.3,28.090995000000003,60.146224999999994,0
211467550,2023-03-24 08:12:28.375677+00:00,0,360,8.880083333333333,53.051336666666664,0
219022265,2023-03-24 08:12:28.376125+00:00,0.3,88.4,13.021383333333334,55.63540666666667,0
367371830,2023-03-24 08:12:28.377454+00:00,0.1,238.1,-79.88371666666667,32.76685,1
240340700,2023-03-24 08:12:28.377948+00:00,0,360,23.702928333333332,37.91296666666666,5
227896490,2023-03-24 08:12:28.378706+00:00,15.4,262.8,-0.015293333333333332,49.48095333333333,9
230111650,2023-03-24 08:12:28.379174+00:00,0,119.3,21.57079666666667,63.08133833333333,5
244670456,2023-03-24 08:12:28.379978+00:00,5.5,154.7,8.47877,49.765315,0
244620737,2023-03-24 08:12:28.380427+00:00,0,239.4,4.3256499999999996,51.258685,5
244139723,2023-03-24 08:12:28.419687+00:00,0,360,4.49453,51.91013,0
265812560,2023-03-24 08:12:28.423284+00:00,7.9,127.4,12.576025,56.085818333333336,0
316009671,2023-03-24 08:12:28.426520+00:00,0,7.3,-73.49862833333333,45.625315,0
338412784,2023-03-24 08:12:28.460827+00:00,0,0,-88.21575333333334,40.10686666666666,15
241639000,2023-03-24 08:12:28.463254+00:00,0,192.7,22.92987833333333,40.634548333333335,5
248702000,2023-03-24 08:12:28.465454+00:00,0,190.6,23.683631666666667,37.928916666666666,5
211498060,2023-03-24 08:12:28.466003+00:00,0,360,9.909771666666668,53.537971666666664,0
226006810,2023-03-24 08:12:28.467072+00:00,0,167.1,1.059965,49.444245,0
316021598,2023-03-24 08:12:28.467807+00:00,0,246.8,-73.11657333333332,46.04694833333333,0
