;;Totals;;;;;;;;;;;Average energy efficiency;;;;;;;;;;;;Distance and time;;;Average energy efficiency on Laden Voyages;;;;;;;;;;;;Additional voluntary reporting;
IMO Number;Name;Total fuel consumption [m tonnes];Fuel consumptions assigned to On laden [m tonnes];Total CO₂ emissions [m tonnes];CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes];CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes];CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes];CO₂ emissions which occurred within ports under a MS jurisdiction at berth [m tonnes];CO₂ emissions assigned to Passenger transport [m tonnes];CO₂ emissions assigned to Freight transport [m tonnes];CO₂ emissions assigned to On laden [m tonnes];Annual Total time spent at sea [hours];Annual average Fuel consumption per distance [kg / n mile];Annual average Fuel consumption per transport work (mass) [g / m tonnes · n miles];Annual average Fuel consumption per transport work (volume) [g / m³ · n miles];Annual average Fuel consumption per transport work (dwt) [g / dwt carried · n miles];Annual average Fuel consumption per transport work (pax) [g / pax · n miles];Annual average Fuel consumption per transport work (freight) [g / m tonnes · n miles];Annual average CO₂ emissions per distance [kg CO₂ / n mile];Annual average CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles];Annual average CO₂ emissions per transport work (volume) [g CO₂ / m³ · n miles];Annual average CO₂ emissions per transport work (dwt) [g CO₂ / dwt carried · n miles];Annual average CO₂ emissions per transport work (pax) [g CO₂ / pax · n miles];Annual average CO₂ emissions per transport work (freight) [g CO₂ / m tonnes · n miles];Through ice [n miles];Total time spent at sea [hours];Total time spent at sea through ice [hours];Fuel consumption per distance on laden voyages [kg / n mile];Fuel consumption per transport work (mass) on laden voyages [g / m tonnes · n miles];Fuel consumption per transport work (volume) on laden voyages [g / m³ · n miles];Fuel consumption per transport work (dwt) on laden voyages [g / dwt carried · n miles];Fuel consumption per transport work (pax) on laden voyages [g / pax · n miles];Fuel consumption per transport work (freight) on laden voyages [g / m tonnes · n miles];CO₂ emissions per distance on laden voyages [kg CO₂ / n mile];CO₂ emissions per transport work (mass) on laden voyages [g CO₂ / m tonnes · n miles];CO₂ emissions per transport work (volume) on laden voyages [g CO₂ / m³ · n miles];CO₂ emissions per transport work (dwt) on laden voyages [g CO₂ / dwt carried · n miles];CO₂ emissions per transport work (pax) on laden voyages [g CO₂ / pax · n miles];CO₂ emissions per transport work (freight) on laden voyages [g CO₂ / m tonnes · n miles];Additional information to facilitate the understanding of the reported average operational energy efficiency indicators;Average density of the cargo transported [m tonnes / m³]
7602120;AURELIA;3663,55;N/A;11533,32;10560,11;0;0;973,21;10725,99;807,34;N/A;2196,41;128,72;N/A;N/A;N/A;243,86;26,5;405,22;N/A;N/A;N/A;767,7;83,43;N/A;2196,41;N/A;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7609697;SOMERSET;241,5;;758,43;0;0;758,43;0;N/A;N/A;;1251,83;72,54;Division by zero!;N/A;N/A;N/A;N/A;227,83;Division by zero!;N/A;N/A;N/A;N/A;N/A;1251,83;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
7615048;DUBROVNIK;3587,72;N/A;11502,23;7488,75;1359,17;1356,82;1167,34;11502,23;11502,23;N/A;2843,25;107,53;N/A;N/A;N/A;1,12;0,78;344,74;N/A;N/A;N/A;3,59;2,5;N/A;2843,25;N/A;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7615414;MOBY CORSE;6103,28;N/A;19092;17307,37;0;0;1784,63;18213,76;878,22;N/A;3568,1;123,95;N/A;N/A;N/A;413,26;21,65;387,74;N/A;N/A;N/A;1292,73;67,72;N/A;3568,1;N/A;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7619458;NEXANS SKAGERRAK;3036,62;;9735,4;5801,8;0;0;3933,6;N/A;N/A;;2612,22;460,2;;N/A;209,55;N/A;N/A;1475,4;;N/A;671,81;N/A;N/A;N/A;2612,22;N/A;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
7622041;ZEIN I;2010;;6295,02;0;2781,96;3391,23;121,83;N/A;N/A;;2001,3;87,75;78,18;N/A;Division by zero!;N/A;N/A;274,83;244,86;N/A;Division by zero!;N/A;N/A;N/A;2001,3;N/A;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
7625811;OCEAN ENDEAVOUR;440,35;;1411,76;394,59;582,37;209,16;225,64;N/A;N/A;;442,42;110,86;N/A;N/A;N/A;353,31;N/A;355,43;N/A;N/A;N/A;1132,7;N/A;;442,42;;;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;;N/A;;
7633143;POVL ANKER;868,42;N/A;2784,15;2594,68;0;0;151,8;2163,73;430,57;N/A;502;114,64;N/A;N/A;N/A;249,4;58,88;367,55;N/A;N/A;N/A;799,59;188,77;;502;;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7633155;ECKERO;4311,89;N/A;13823,92;11423,49;0;0;2400,43;9538,49;4285,42;N/A;3644,94;93,65;N/A;N/A;N/A;129,85;167,14;300,24;N/A;N/A;N/A;416,3;535,85;0;3644,94;0;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7633375;SUNNANVIK;2915,88;;9348,31;7695,93;0;0;1652,38;N/A;N/A;;4785,67;65,54;16,66;N/A;N/A;N/A;N/A;210,11;53,4;N/A;N/A;N/A;N/A;N/A;4785,67;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
7637149;VRONSKIY;9054,36;N/A;28394,59;0;13922,51;13922,51;549,57;2042,32;25802,69;N/A;4843,44;136,55;N/A;N/A;N/A;35,02;359,13;428,23;N/A;N/A;N/A;109,78;1125,74;N/A;4843,44;N/A;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7802067;FESTIVO;1661,28;;5326,06;3092,32;934,55;1001,11;298,09;N/A;N/A;;4818,67;35,15;0,22;N/A;N/A;N/A;N/A;112,69;0,71;N/A;N/A;N/A;N/A;;4818,67;;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
7802122;NAZLIM;383,2;;1211,06;160,5;463,47;534,79;52,3;N/A;N/A;;2016,08;39,25;5,63;N/A;5,63;N/A;N/A;124,03;17,81;N/A;17,81;N/A;N/A;;2016,08;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
7802794;GUTE;1499,21;N/A;4747,33;4050;0;0;712;20,54;4013,32;N/A;2361;53,74;N/A;N/A;N/A;15,66;77,44;170,16;N/A;N/A;N/A;49,49;244,71;;2361;;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7803190;MOROCCO STAR;8294,17;N/A;26237,71;0;10123,17;10123,17;5991,37;13535,56;18693,52;N/A;3485,35;133,52;N/A;N/A;N/A;369,81;219,43;422,39;N/A;N/A;N/A;1174,17;695,25;;3485,35;;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
7803205;KRONPRINS FREDERIK;1789;N/A;5650,17;5574;0;0;0;5650,17;5650,17;N/A;862;207,54;N/A;N/A;N/A;6814,98;364,9;655,47;N/A;N/A;N/A;21523,65;1152,46;;862;;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
